fid,agency_cd,site_no,station_nm,dec_lat_va,dec_long_v,coord_acy_,dec_coord_,state_cd,alt_va,alt_acy_va,alt_datum_,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"2989",USGS,"1367690",Franklin Pond Creek at Beaver Lake NJ,41.10527778,-74.5596111,"1",NAD83,"34",900,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2990",USGS,"1367715",Wallkill R at Scott Road at Franklin NJ,41.1333333,-74.5786111,S,NAD83,"34",,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2991",USGS,"1367800",Papakating Creek at Pellettown NJ,41.16277778,-74.67527778,S,NAD83,"34",414.28,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2992",USGS,"1367805",Papakating Creek at Roys NJ,41.17,-74.6566222,S,NAD83,"34",410,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2993",USGS,"1377000",Hackensack River at Rivervale NJ,40.99916667,-73.9891667,S,NAD83,"34",22.51,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2994",USGS,"1377370",Pascack Brook at Park Ridge NJ,41.03666667,-74.0391667,S,NAD83,"34",129.9,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2995",USGS,"1377451",Pascack Bk at Woodcliff Lk outlet at Hillsdale NJ,41.01194444,-74.0480556,S,NAD83,"34",59.08,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2996",USGS,"1377500",Pascack Brook at Westwood NJ,40.99277778,-74.0211111,S,NAD83,"34",28.62,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2997",USGS,"1378500",Hackensack River at New Milford NJ,40.9483333,-74.0266667,S,NAD83,"34",6.25,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2998",USGS,"1379000",Passaic River near Millington NJ,40.68,-74.52888889,S,NAD83,"34",215.6,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"2999",USGS,"1379500",Passaic River near Chatham NJ,40.7261111,-74.3897222,R,NAD83,"34",193.51,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3000",USGS,"1379530",Canoe Brook near Summit NJ,40.74444444,-74.3536111,S,NAD83,"34",159.64,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3001",USGS,"1379699",Rockaway River at NJ Rt 15 at Berkshire Valley NJ,40.93416667,-74.59138889,S,NAD83,"34",830,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3002",USGS,"1379773",Green Pond Brook at Picatinny Arsenal NJ,40.96,-74.5397222,S,NAD83,"34",712.54,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3003",USGS,"1379780",Green Pond Bk blw Picatinny Lk at Picatinny Ars NJ,40.94944444,-74.5572222,S,NAD83,"34",694.91,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3004",USGS,"1379845",Rockaway River at Warren Street at Dover NJ,40.8861111,-74.56,S,NAD83,"34",561.83,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3005",USGS,"1379868",Mill Brook at Route 10 at Victory Gardens NJ,40.87305556,-74.5333333,S,NAD83,"34",550,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
